# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.22
# 3/27/2020 4:07:25 PM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
IIO	0x0	0x0	0x00	0x00	0x00	UNC_IIO_NOTHING	tbd	0,1,2,3	0x53	na	0	0	0x00
IIO	0x2	0x1	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_AND.BUS0	AND Mask/match for debug bus; Non-PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x2	0x10	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_AND.NOT_BUS0_BUS1	AND Mask/match for debug bus; !(Non-PCIE bus) and PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x2	0x2	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_AND.BUS1	AND Mask/match for debug bus; PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x2	0x20	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_AND.NOT_BUS0_NOT_BUS1	AND Mask/match for debug bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x2	0x4	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_AND.BUS0_NOT_BUS1	AND Mask/match for debug bus; Non-PCIE bus and !(PCIE bus)	0,1,2,3	0x53	na	0	0	0x00
IIO	0x2	0x8	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_AND.BUS0_BUS1	AND Mask/match for debug bus; Non-PCIE bus and PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x21	0x0	0x00	0x00	0x00	UNC_IIO_MASK_MATCH	Number packets that passed the Mask/Match Filter	0,1,2,3	0x53	na	0	0	0x00
IIO	0x3	0x1	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_OR.BUS0	OR Mask/match for debug bus; Non-PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x3	0x10	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_OR.NOT_BUS0_BUS1	OR Mask/match for debug bus; !(Non-PCIE bus) and PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x3	0x2	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_OR.BUS1	OR Mask/match for debug bus; PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x3	0x20	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_OR.NOT_BUS0_NOT_BUS1	OR Mask/match for debug bus; !(Non-PCIE bus) and !(PCIE bus)	0,1,2,3	0x53	na	0	0	0x00
IIO	0x3	0x4	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_OR.BUS0_NOT_BUS1	OR Mask/match for debug bus; Non-PCIE bus and !(PCIE bus)	0,1,2,3	0x53	na	0	0	0x00
IIO	0x3	0x8	0x00	0x00	0x00	UNC_IIO_MASK_MATCH_OR.BUS0_BUS1	OR Mask/match for debug bus; Non-PCIE bus and PCIE bus	0,1,2,3	0x53	na	0	0	0x00
IIO	0x40	0x0	0x00	0x00	0x00	UNC_IIO_VTD_OCCUPANCY	VTd Occupancy	0,1,2,3	0x53	na	0	0	0x00
IIO	0x41	0x10	0x00	0x00	0x00	UNC_IIO_VTD_ACCESS.L3_MISS	VTd Access; L3 miss	0,1,2,3	0x53	na	0	0	0x00
IIO	0x41	0x2	0x00	0x00	0x00	UNC_IIO_VTD_ACCESS.CTXT_MISS	VTd Access; context cache miss	0,1,2,3	0x53	na	0	0	0x00
IIO	0x41	0x20	0x00	0x00	0x00	UNC_IIO_VTD_ACCESS.TLB_MISS	VTd Access; TLB miss	0,1,2,3	0x53	na	0	0	0x00
IIO	0x41	0x4	0x00	0x00	0x00	UNC_IIO_VTD_ACCESS.L1_MISS	VTd Access; L1 miss	0,1,2,3	0x53	na	0	0	0x00
